"symbol_time","symbol","cell_text"
"23-Aug-23  14:39 ET","TSLA","Tesla +1.8% mounts a comeback after opening down -1.6%; shares amid a relief rally after tumbling over 18% since Q2 earnings in mid-July
  (237.40 
+4.21
)
 
 "
"23-Aug-23  07:32 ET","TSLA","Tesla Germany plant is lowering production targets, according to Reuters, citing Business Insider
  (233.19)
Reuters
Business Insider
 "
"17-Aug-23  13:50 ET","TSLA","Tesla planning to enter rental car market starting with pilot program in Texas, according to TeslaRati
  (223.19 
-2.47
)
TeslaRati
 (potential related stocks: 
HTZ
, 
CAR
)
 "
"14-Aug-23  13:35 ET","TSLA","Story Stocks: Tesla encounters a speed bump today after reportedly implementing further price cuts in China (
TSLA
)
  (238.50 
-4.15
)
Tesla (
TSLA
 -1%) hits a speed bump after reportedly slashing prices in China today. The company cut the cost of the Long Range and Performance Model Y by around $1,900 while extending an insurance subsidy for the base Model 3 through the end of September. The price cuts reflect stalling recovery...
  Full Article 
 "
"14-Aug-23  12:04 ET","TSLA","Tesla encounters a speed bump today after reportedly implementing further price cuts in China
  (237.36 
-5.30
)
Tesla (
TSLA
 -2%)
 hits a speed bump after reportedly slashing prices in China today. The company cut the cost of the Long Range and Performance Model Y by around $1,900 while extending an insurance subsidy for the base Model 3 through the end of September. The price cuts reflect stalling recovery efforts in the region.
 It is not the first time Tesla has trimmed its pricing in China. Last month, Tesla reduced the prices of its Model S and X vehicles in the region by roughly $4,825, following its decision a month earlier to provide cash subsidies to particular Model 3 buyers. Meanwhile, throughout 2022, Tesla was lowering prices across the board, a move that worried investors as it reflected growing competitive risks in the country. 
 Speaking of the competition, Tesla's price cuts today follow in the footsteps of competing China-based electric vehicle (EV) manufacturers. 
Li Auto (LI)
 lowered its average selling price in Q2 to spur more robust delivery growth. 
Nio (NIO) 
reduced prices by over $4,000 despite actively trying to avoid a price war in June. 
XPeng (XPEV)
, which reports Q2 results on Friday, slashed prices of its base models earlier this year to better contend with a challenging demand environment. 
The price war among EV makers in China does not bode well for Tesla -- or its rivals, for that matter -- which is already in hot water regarding the price cuts it announced across many other markets, including the U.S. and Europe, and their negative effect on margins. 
 Last month, shares sunk by 10% on a disappointing Q2 report, headlined by GAAP gross margins tumbling over 680 bps yr/yr to 18.2%. The market was likely anticipating margin stabilization ahead of Tesla's Q2 results. However, even after a significant yr/yr contraction, CEO Elon Musk signaled continual margin pressure over the near term. 
Without Tesla breaking down its deliveries by geography, it is unclear how much the price cuts in China affected the company's record delivery figures in Q2. However, given that its China-based rivals, including XPEV and BYD, as well as other global OEMs, like Volkswagen Group, saw a spike in deliveries during Q2, the cuts likely provided a meaningful boost to Q2 deliveries for Tesla.
  If Mr. Musk's comments last quarter are any indication, stating that he would rather sacrifice margin for volume, price cuts will likely continue as long as global economic conditions remain relatively weak to continue fueling upbeat delivery reports. Adding further evidence, Mr. Musk also noted during the Q2 earnings call that the company adjusts course according to the public's mood. 
As the price war remains active in China, Tesla will struggle to carve out a bottom regarding margins. It helps that commodity costs, including nickel, cobalt, and graphite, have declined across the board, translating to thousands of dollars of positive impact per vehicle. Nevertheless, Tesla shares could have trouble breaking above levels before Q2 earnings until prices, and thus margins, stabilize.
 "
"07-Aug-23  09:05 ET","TSLA","Tesla appointed Vaibhav Taneja as Chief Financial Officer in addition to his current role as Chief Accounting Officer, to succeed Zachary Kirkhorn
  (253.86)
Mr. Kirkhorn stepped down as of August 4, after a thirteen-year tenure with the company, the last four years of which he has served as Master of Coin and Chief Financial Officer. During his tenure, Tesla has seen tremendous expansion and growth. Tesla thanks Mr. Kirkhorn for his significant contributions. Mr. Kirkhorn will continue to serve Tesla through the end of the year to support a seamless transition.
  Prior to this appointment as CFO, Mr. Taneja served as Tesla's Chief Accounting Officer since March 2019, as Corporate Controller from May 2018, and as Assistant Corporate Controller between February 2017 and May 2018. Mr. Taneja served in various finance and accounting roles at SolarCity from March 2016. Prior to that, Mr. Taneja was employed at PricewaterhouseCoopers in both India and the U.S. between July 1999 and March 2016.
 "
"07-Aug-23  06:01 ET","TSLA","Tesla CEO Elon Musk tweets ""I’m getting an MRI of my neck & upper back tomorrow.   May require surgery before the fight can happen. Will know this week""
  (253.86)
Tweet
 "
"28-Jul-23  10:20 ET","TSLA","Tesla had discussions with India investment agency, according to Reuters
  (263.47 
+7.78
)
Reuters
 "
"26-Jul-23  16:00 ET","TSLA","Tesla: California will investigate 
TSLA
 over Autopilot safety & marketing, according to CNBC
  (264.31 
-0.90
)
CNBC
 "
"24-Jul-23  09:44 ET","TSLA","Tesla: UBS downgrades to Neutral; recent rally fully reflects the strong demand response seen after the price cuts
  (258.21 
-1.81
)
UBS analyst Patrick Hummel commented, ""We downgrade to Neutral because we think the recent strong share performance fully reflects the strong demand response seen after the price cuts, as well as a solid execution in 2024. Q2 results validated the pricing strategy with a small decline in auto gross margin ex-credits by $400/car q/q, despite a decline in ASP by $900/car q/q. Going forward, upside risk to consensus seems very limited because strong execution is already fully reflected. Also, (1) deliveries are guided down q/q for Q3 on temporary production halts; (2) opex is on the rise due to Cybertruck, Dojo and other projects; (3) any step-change in margins will depend predominantly on progress made on the autonomy front, and it would seem overly optimistic to anticipate this for the next 12 months. We continue to see Tesla globally leading the race to affordable electric and autonomous mobility, but on a 1-year view, risk/reward looks balanced.""
CNBC
 talks more about the downgrade.
 "
"20-Jul-23  11:12 ET","TSLA","Story Stocks: Tesla fails to steer around margin concerns in Q2, sending shares in reverse (
TSLA
)
Record vehicle deliveries and moderating raw materials prices helped Tesla (
TSLA
) drive past 2Q23 EPS and revenue expectations, but the EV makers' declining margins, aggressive investment plans, and warning that more price cuts may be on the way have the stock in reverse today.With shares...
  Full Article 
 "
